Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","TantalC_SizeD_EIA-7343_Reflow",139.1920,-90.1700,90.0000,bottom
"C2","3u3","C_0805",141.4780,-91.5670,90.0000,bottom
"C3","1u","C_0805",143.3830,-91.5670,90.0000,bottom
"C4","18pF","C_0805",126.4920,-94.7420,90.0000,bottom
"C5","680pF","C_0805",122.6820,-92.7100,90.0000,bottom
"C6","8n2","C_0805",134.1120,-98.2980,180.0000,bottom
"C7","100n","C_0805",127.8890,-90.9320,0.0000,bottom
"C8","22u","TantalC_SizeC_EIA-6032_Reflow",131.3180,-81.5340,0.0000,bottom
"C9","1u5","C_1206",123.1900,-83.0580,180.0000,bottom
"C10","22u","TantalC_SizeB_EIA-3528_Reflow",138.4300,-80.5180,-90.0000,bottom
"C11","1u5","C_1206",141.9860,-80.8990,-90.0000,bottom
"D1","D_Schottky","DO-214AB",131.6990,-86.7410,0.0000,bottom
"D2","POWER OUT","LED_0805",136.6520,-71.1200,0.0000,top
"L1","4.7uH","Inductor_XAL4030-472MEB",123.1900,-87.8840,90.0000,bottom
"L2","240nH","R_0805",134.1120,-78.2320,0.0000,bottom
"R1","35k7","R_0805",123.6980,-95.5040,180.0000,bottom
"R2","10k2","R_0805",120.1420,-92.8370,0.0000,bottom
"R3","1k93","R_0805",120.1420,-95.3770,180.0000,bottom
"R4","1k2","R_0805",139.3190,-74.8030,90.0000,bottom
"U1","TPS54332","8-PowerSOIC_Pitch1.27mm",132.3340,-94.2340,180.0000,bottom
